Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Bleaching_Severity_Int,Thermal_Stress_Index,Bleaching_Impact,Wind_Mitigation,Bleaching_Duration_weeks
730,-15.0248,145.4408,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0534,51.42,4,1998,5.5,299.41,5.0,1.18,0.0,-1.06,0.42,15-04-1998,1.0,0.42988505747126554,0.17195402298850623,0.6,2
731,-14.852,145.2718,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0995,54.74,4,1998,5.5,299.33,5.0,1.16,0.0,-1.23,0.45,15-04-1998,1.0,0.42656814449917824,0.1706272577996713,0.6,2
732,-14.7354,145.199,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1055,53.56,4,1998,5.5,299.37,5.0,1.35,0.0,-0.9,0.45,15-04-1998,1.0,0.43443349753694604,0.17377339901477842,0.6,2
733,-14.733,145.1854,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1055,53.56,4,1998,5.5,299.37,5.0,1.59,3.38,-1.13,0.25,15-04-1998,1.0,0.461913905060457,0.18476556202418282,0.6,2
743,-12.2347,143.2849,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.1196,41.23,4,1998,5.5,299.96,5.0,-0.65,5.31,-2.68,0.58,15-04-1998,1.0,0.4150144611135987,0.16600578444543948,0.6,2
752,-11.7721,143.0849,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.0713,37.42,4,1998,5.5,300.08,5.0,0.07,4.48,-1.95,0.47,15-04-1998,1.0,0.43906702492909366,0.1756268099716375,0.6,2
1011,-20.6048,116.7575,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1765,57.03,5,2005,5.5,299.49,2.0,1.45,17.73,-2.45,0.62,15-05-2005,1.0,0.5425612964621588,0.21702451858486352,0.9,3
1012,-20.6008,116.7593,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1772,57.03,5,2005,5.5,299.49,2.0,1.45,17.73,-2.45,0.62,15-05-2005,1.0,0.5425612964621588,0.21702451858486352,0.9,3
1013,-20.5959,116.7639,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1772,57.03,5,2005,5.5,299.49,2.0,1.45,17.73,-2.45,0.62,15-05-2005,1.0,0.5425612964621588,0.21702451858486352,0.9,3
1014,-20.5901,116.7686,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1762,57.03,5,2005,5.5,299.49,2.0,1.45,17.73,-2.45,0.62,15-05-2005,1.0,0.5425612964621588,0.21702451858486352,0.9,3
1015,-20.589,116.7748,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1762,57.03,5,2005,5.5,299.49,2.0,1.45,17.73,-2.45,0.62,15-05-2005,1.0,0.5425612964621588,0.21702451858486352,0.9,3
1016,-20.5713,116.7802,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.1683,58.08,5,2005,5.5,299.5,2.0,1.63,15.94,-2.54,0.55,15-05-2005,1.0,0.5389261456933869,0.21557045827735477,0.9,3
1019,-22.0333,113.9167,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.0669,53.93,5,1999,5.5,298.54,3.0,-0.04,7.36,-1.25,0.67,15-05-1999,1.0,0.4010628452007768,0.16042513808031073,0.7999999999999999,2
1157,-19.74,149.2,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0917,48.27,10,2007,5.5,298.57,8.0,0.06,0.0,-3.37,0.32,15-10-2007,1.0,0.3636781609195394,0.14547126436781577,0.29999999999999993,1
1157,-19.74,149.2,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0917,48.27,12,2007,5.5,298.57,5.0,-0.05,0.0,-0.8,0.32,15-12-2007,1.0,0.35988505747126354,0.14395402298850543,0.6,1
1159,-17.2493,119.334,Indian,Rowley Shoals west Australia,Exposed,0.037,66.36,11,1998,5.5,301.24,4.0,1.32,6.06,-0.21,0.74,15-11-1998,1.0,0.5292429840274664,0.21169719361098657,0.7,2
1160,-21.6837,114.93,Indian,Ningaloo Reef and coastal north-west Australia,Sheltered,0.5246,56.71,11,1998,5.5,298.7,5.0,1.13,2.32,-3.62,0.69,15-11-1998,1.0,0.41802582474996147,0.1672103298999846,0.6,2
1162,-16.05,145.83,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0533,49.35,12,2007,5.5,299.6,6.0,-0.7,3.44,-1.42,0.43,15-12-2007,1.0,0.39084266308404325,0.15633706523361732,0.4999999999999999,1
1212,23.764,-76.12,Atlantic,Bahamas and Florida Keys,Sheltered,0.0423,51.1,1,1991,5.5,299.82,4.0,0.83,0.0,-4.47,0.36,15-01-1991,1.0,0.43128078817733895,0.17251231527093558,0.7,2
1212,23.764,-76.12,Atlantic,Bahamas and Florida Keys,Sheltered,0.0423,51.1,8,1993,5.5,299.82,3.0,-0.88,2.79,-0.9,0.36,15-08-1993,1.0,0.3881675436632324,0.15526701746529298,0.7999999999999999,2
1212,23.764,-76.12,Atlantic,Bahamas and Florida Keys,Sheltered,0.0423,51.1,10,1994,5.5,299.82,8.0,0.34,2.03,-1.03,0.36,15-10-1994,1.0,0.42591832736229196,0.1703673309449168,0.29999999999999993,1
1212,23.764,-76.12,Atlantic,Bahamas and Florida Keys,Sheltered,0.0423,51.1,11,1992,5.5,299.82,6.0,0.03,1.1,-2.94,0.36,15-11-1992,1.0,0.40994458128078726,0.1639778325123149,0.4999999999999999,1
1213,23.796,-76.137,Atlantic,Bahamas and Florida Keys,Sheltered,0.0392,51.1,3,1992,5.5,299.83,6.0,0.09,4.51,-4.76,0.23,15-03-1992,1.0,0.43171695402298715,0.17268678160919487,0.4999999999999999,1
1213,23.796,-76.137,Atlantic,Bahamas and Florida Keys,Sheltered,0.0392,51.1,3,1994,5.5,299.83,5.0,0.35,1.06,-4.54,0.23,15-03-1994,1.0,0.4210801985370938,0.1684320794148375,0.6,2
1213,23.796,-76.137,Atlantic,Bahamas and Florida Keys,Sheltered,0.0392,51.1,4,1993,5.5,299.83,6.0,-0.65,1.71,-4.65,0.23,15-04-1993,1.0,0.3902906217345859,0.15611624869383436,0.4999999999999999,1
1224,24.592,-76.806,Atlantic,Bahamas and Florida Keys,Sheltered,0.0441,51.43,6,1993,5.5,299.83,5.0,-0.41,0.0,-2.07,0.36,15-06-1993,1.0,0.38885057471264234,0.15554022988505695,0.6,1
1278,23.742,-76.051,Atlantic,Bahamas and Florida Keys,Exposed,0.0444,54.14,8,1990,5.5,299.82,5.0,-1.54,0.0,-1.56,0.36,15-08-1990,1.0,0.3495566502463045,0.13982266009852182,0.6,1
1279,23.7413,-76.0054,Atlantic,Bahamas and Florida Keys,Exposed,0.0399,54.14,8,1998,5.5,299.84,7.0,-0.37,10.19,-0.48,0.3,15-08-1998,1.0,0.448456019555157,0.17938240782206283,0.3999999999999999,1
1320,23.745,-76.081,Atlantic,Bahamas and Florida Keys,Sheltered,0.0444,54.14,9,1987,5.5,299.82,5.0,0.17,0.0,0.03,0.28,15-09-1987,1.0,0.40852216748768383,0.16340886699507354,0.6,2
1320,23.745,-76.081,Atlantic,Bahamas and Florida Keys,Sheltered,0.0444,54.14,9,1987,5.5,299.82,5.0,0.17,0.0,0.03,0.28,15-09-1987,1.0,0.40852216748768383,0.16340886699507354,0.6,2
1321,23.7907,-76.1393,Atlantic,Bahamas and Florida Keys,Sheltered,0.1804,51.1,9,2005,5.5,299.83,9.0,0.18,4.61,-0.09,0.23,15-09-2005,1.0,0.435388584117031,0.1741554336468124,0.19999999999999996,1
1546,16.17,-88.34,Atlantic,Belize and west Caribbean,Sheltered,0.0773,48.45,9,2007,5.5,301.53,4.0,-1.64,3.35,-1.66,0.84,15-09-2007,1.0,0.42130010076130653,0.1685200403045226,0.7,2
1568,16.8,-88.08,Atlantic,Belize and west Caribbean,Sometimes,0.0445,49.04,10,1999,5.5,301.16,3.0,0.13,7.0,-0.46,0.61,15-10-1999,1.0,0.4909221525600841,0.19636886102403364,0.7999999999999999,3
1574,18.0048,-87.8997,Atlantic,Belize and west Caribbean,Exposed,0.0368,42.11,10,1999,5.5,300.79,3.0,0.58,3.58,0.26,0.62,15-10-1999,1.0,0.4748565084340954,0.18994260337363816,0.7999999999999999,2
1582,16.73,-87.77,Atlantic,Belize and west Caribbean,Exposed,0.0373,47.91,10,1999,5.5,301.11,3.0,0.11,2.51,-0.28,0.58,15-10-1999,1.0,0.46307909762651145,0.18523163905060458,0.7999999999999999,2
1583,16.8833,-88.05,Atlantic,Belize and west Caribbean,Sometimes,0.0531,51.8,10,1999,5.5,301.14,3.0,-0.48,6.13,-1,0.62,15-10-1999,1.0,0.46428767353336325,0.1857150694133453,0.7999999999999999,2
1584,17.2,-87.5333,Atlantic,Belize and west Caribbean,Exposed,0.0326,47.21,10,1999,5.5,301.0,3.0,-0.07,3.6,-0.35,0.37,15-10-1999,1.0,0.45945290341842016,0.18378116136736808,0.7999999999999999,2
1585,16.45,-88.02,Atlantic,Belize and west Caribbean,Exposed,0.0622,56.86,10,2003,5.5,301.3,6.0,-0.5,1.4,-1.02,0.67,15-10-2003,1.0,0.44197753396029227,0.17679101358411692,0.4999999999999999,1
1586,16.793,-87.732,Atlantic,Belize and west Caribbean,Exposed,0.0391,47.62,10,2003,5.5,301.07,6.0,0.16,0.0,-0.21,0.49,15-10-2003,1.0,0.4492282430213455,0.17969129720853821,0.4999999999999999,1
1588,16.77,-88.07,Atlantic,Belize and west Caribbean,Sometimes,0.046,49.04,11,1998,5.5,301.12,5.0,-0.38,4.28,-1.69,0.64,15-11-1998,1.0,0.45656777130915016,0.18262710852366007,0.6,2
1630,32.33,-64.83,Atlantic,Bermuda,Sheltered,0.0742,62.19,8,2003,5.5,296.01,5.0,1.44,10.3,1.45,0.21,15-08-2003,1.0,0.3857148454993275,0.15428593819973102,0.6,1
1630,32.33,-64.83,Atlantic,Bermuda,Sheltered,0.0742,62.19,9,2003,5.5,296.01,9.0,-0.85,10.91,-1.67,0.21,15-09-2003,1.0,0.3102152373488573,0.12408609493954292,0.19999999999999996,0
1646,32.467,-64.795,Atlantic,Bermuda,Sheltered,0.0545,61.33,8,2005,5.5,296.07,5.0,0.33,4.7,0.32,0.12,15-08-2005,1.0,0.31759124496193397,0.1270364979847736,0.6,1
1651,6.022,116.034,Pacific,Sunda Shelf south-east Asia,Sheltered,0.0889,53.74,7,2002,5.5,302.46,2.0,-0.4,5.21,-0.64,0.19,15-07-2002,1.0,0.5051687751903264,0.20206751007613058,0.9,3
1663,-16.9929,-39.1432,Atlantic,Brazil,Sheltered,0.2028,48.44,3,1998,5.5,298.87,4.0,-0.77,4.39,-0.94,0.54,15-03-1998,1.0,0.36985286983131754,0.14794114793252702,0.7,2
